ID,NOMBRE,DURACION,GENERO,CALIFICACION
20192345,Ad Astra,02:03,Drama,6.6
20190750,The Platform,01:34,Drama,7
20191580,Star Wars: The Rise of Skywalker,02:22,Accion,6.7
20191245,The Lion King,01:58,Drama,6.9
20200341,Onward,01:42,Accion,7.5
20200450,Extraction,01:56,Drama,6.8
20171580,Beauty and the Beast,02:09,Accion,7.1
20110125-S01E01,Winter is coming,01:02,Drama,9.1
20110125-S01E02,The Kings Road,00:56,Drama,8.8
20110125-S01E03,Lord Snow,00:58,Drama,8.7
20110125-S01E04,Cripples Bastards and Broken Things ,00:56,Drama,8.8
20110125-S01E05,The Wolf and the Lion ,00:55,Drama,9.1
20110125-S01E06,A Golden Crown ,00:53,Drama,9.2
20110125-S01E07,You Win or You Die ,00:58,Drama,9.2
20110125-S01E08,The Pointy End ,00:59,Drama,9
20110125-S01E09,Baelor ,00:57,Drama,9.6
20110125-S01E10,Fire and Blood ,00:53,Drama,9.5
20110125-S02E01,The North Remembers,00:53,Drama,8.8
20110125-S02E02,The Night Lands ,00:54,Drama,8.5
20110125-S02E03,What Is Dead May Never Die ,00:53,Drama,8.8
20110125-S02E04,Garden of Bones ,00:51,Drama,8.8
20110125-S02E05,The Ghost of Harrenhal ,00:55,Drama,8.8
20110125-S02E06,The Old Gods and the New,00:54,Drama,9.1
20110125-S02E07,A Man Without Honor ,00:56,Drama,8.9
20110125-S02E08,The Prince of Winterfell ,00:54,Drama,8.8
20110125-S02E09,Blackwater ,00:55,Drama,9.7
20110125-S02E10,Valar Morghulis ,01:04,Drama,9.4
20110125-S03E01,Valar Dohaeris ,00:55,Drama,8.8
20110125-S03E02,Dark Wings Dark Words,00:56,Drama,8.6
20110125-S03E03,Walk of Punishment ,00:56,Drama,8.9
20110125-S03E04,And Now His Watch Is Ended ,00:53,Drama,9.6
20110125-S03E05,Kissed by Fire,00:57,Drama,9
20110125-S03E06,The Climb ,00:53,Drama,8.8
20110125-S03E07,The Bear and the Maiden Fair ,00:58,Drama,8.7
20110125-S03E08,Second Sons ,00:56,Drama,9
20110125-S03E09,The Rains of Castamere,00:51,Drama,9.9
20110125-S03E10,Mhysa,01:03,Drama,9.2
20110125-S04E01,Two Swords,00:58,Drama,9.1
20110125-S04E02,The Lion and the Rose ,00:52,Drama,9.7
20110125-S04E03,Breaker of Chains ,00:57,Drama,8.9
20110125-S04E04,Oathkeeper ,00:55,Drama,8.8
20110125-S04E05,First of His Name ,00:53,Drama,8.7
20110125-S04E06,The Laws of Gods and Men ,00:51,Drama,9.7
20110125-S04E07,Mockingbird ,00:51,Drama,9.1
20110125-S04E08,The Mountain and the Viper ,00:52,Drama,9.7
20110125-S04E09,The Watchers on the Wall ,00:51,Drama,9.6
20110125-S04E10,The Children ,01:05,Drama,9.7
20110125-S05E01,The Wars to Come,00:53,Drama,8.5
20110125-S05E02,The House of Black and White,00:56,Drama,8.5
20110125-S05E03,High Sparrow,01:00,Drama,8.5
20110125-S05E04,Sons of the Harpy,00:51,Drama,8.7
20110125-S05E05,Kill the Boy,00:57,Drama,8.6
20110125-S05E06,Unbowed Unbent Unbroken,00:54,Drama,8
20110125-S05E07,The Gift,00:59,Drama,9
20110125-S05E08,Hardhome,01:01,Drama,9.9
20110125-S05E09,The Dance of Dragons,00:52,Drama,9.5
20110125-S05E10,Mother's Mercy ,01:00,Drama,9.1
20110125-S06E01,The Red Woman,00:50,Drama,8.5
20110125-S06E02,Home,00:54,Drama,9.4
20110125-S06E03,Oathbreaker ,00:52,Drama,8.7
20110125-S06E04,Book of the Stranger,00:59,Drama,9.1
20110125-S06E05,The Door,00:57,Drama,9.7
20110125-S06E06,Blood of My Blood,00:52,Drama,8.4
20110125-S06E07,The Broken Man,00:51,Drama,8.6
20110125-S06E08,No One,00:59,Drama,8.4
20110125-S06E09,Battle of the Bastards,01:00,Drama,9.9
20110125-S06E10,The Winds of Winter,01:08,Drama,9.9
20110125-S07E01,Dragonstone,00:59,Drama,8.6
20110125-S07E02,Stormborn,00:59,Drama,8.9
20110125-S07E03,The Queen's Justice,01:03,Drama,9.2
20110125-S07E04,The Spoils of War,00:50,Drama,9.8
20110125-S07E05,Eastwatch,00:59,Drama,8.8
20110125-S07E06,Beyond the Wall ,01:10,Drama,9
20110125-S07E07,The Dragon and the Wolf ,01:20,Drama,9.4
20110125-S08E01,Winterfell ,00:54,Drama,7.6
20110125-S08E02,A Knight of the Seven Kingdoms ,00:58,Drama,7.8
20110125-S08E03,The Long Night,01:22,Drama,7.5
20110125-S08E04,The Last of the Starks,01:18,Drama,5.5
20110125-S08E05,The Bells,01:18,Drama,6
20110125-S08E06,The Iron Throne,01:20,Drama,4.1
20170120-S01E01,Secrets ,00:51,Misterio,8.2
20170120-S01E02,Lies,00:44,Misterio,8.1
20170120-S01E03,Past and Present,00:45,Misterio,8.6
20170120-S01E04,Double Lives ,00:47,Misterio,8.3
20170120-S01E05,Truths ,00:45,Misterio,8.9
20170120-S01E06,Sic Mundus Creatus Est ,00:51,Misterio,9.1
20170120-S01E07,Crossroads,00:52,Misterio,8.7
20170120-S01E08,As You Sow so You Shall Reap ,00:50,Misterio,9.2
20170120-S01E09,Everything Is Now,00:55,Misterio,8.7
20170120-S01E10,Alpha and Omega,00:57,Misterio,9.2
20170120-S02E01,Beginnings and Endings,00:53,Misterio,8.9
20170120-S02E02,Dark Matter ,00:54,Misterio,9
20170120-S02E03,Ghosts,00:56,Misterio,9.2
20170120-S02E04,The Travelers,01:00,Misterio,9.5
20170120-S02E05,Lost and Found,00:56,Misterio,9.3
20170120-S02E06,An Endless Cycle,00:54,Misterio,9.6
20170120-S02E07,The White Devil,00:58,Misterio,9.3
20170120-S02E08,Endings and Beginnings,00:57,Misterio,9.5
